,Name,Area of Expertise,Biography,Link
0,Kimberlé Crenshaw,Law,"A pioneering scholar and writer on civil rights, critical race theory, Black feminist legal theory, and race, racism and the law.",https://www.law.columbia.edu/faculty/kimberle-w-crenshaw	
1,Taylor Swift,Singer-Songwriter,An American singer-songwriter who has received critical praise and wide media coverage.,https://www.taylorswift.com 
2,Brandi Carlile,Singer-Songwriter,"An American singer-songwriter and producer whose music spans many genres, including folk rock, alternative country, Americana, and classic rock.",https://www.brandicarlile.com 
3,Robert Solow,Economist,An American economist whose work on the theory of economic growth culminated in the exogenous growth model named after him.,https://ide.mit.edu/people/robert-solow/ 
4,Esther Duflo,Economist,A French–American economist who is a professor of Poverty Alleviation and Development Economics at the Massachusetts Institute of Technology. ,https://economics.mit.edu/people/faculty/esther-duflo 
5,Yuval Noah Harari,Author,An Israeli historian and professor in the Department of History at the Hebrew University of Jerusalem.,https://www.ynharari.com 
6,Ruta Sepetys,Author,A Lithuanian-American writer of historical fiction.,https://rutasepetys.com 
7,Florence Pugh,Actress, An English actress who made her acting debut in 2014 in the drama film The Falling.,https://www.instagram.com/florencepugh/?hl=en 
8,Candace Parker,Professional Basketball Player,An American professional basketball player for the Las Vegas Aces of the Women's National Basketball Association. ,https://www.instagram.com/candaceparker/?hl=en 
9,Serena Williams,Former Tennis Player,An American former tennis player that is considered among the greatest tennis players of all time.,https://www.instagram.com/serenawilliams/?hl=en
